cycle number,Ewe/V
1124,2.110760
1125,2.110780
1126,2.110870
1127,2.110800
1128,2.110870
1129,2.110820
1130,2.110890
1131,2.110910
1132,2.110760
1133,2.110890
1134,2.110680
1135,2.110830
1136,2.110870
1137,2.110870
1138,2.110870
1139,2.110800
1140,2.110830
1141,2.110700
1142,2.110870
1143,2.110950
1144,2.110740
1145,2.110800
1146,2.110950
1147,2.110780
1148,2.110820
1149,2.110740
1150,2.110890
1151,2.110800
1152,2.110700
1153,2.110870
1154,2.110830
1155,2.110700
1156,2.110760
1157,2.110760
1158,2.110720
1159,2.110780
1160,2.110640
1161,2.110620
1162,2.110820
1163,2.110800
1164,2.110740
1165,2.110680
1166,2.110610
1167,2.110760
1168,2.110700
1169,2.110830
1170,2.110800
1171,2.110780
1172,2.110830
1173,2.110660
1174,2.110800
1175,2.110570
1176,2.110660
1177,2.110720
1178,2.110680
1179,2.110740
1180,2.110640
1181,2.110740
1182,2.110780
1183,2.110660
1184,2.110660
1185,2.110660
1186,2.110620
1187,2.110590
1188,2.110740
1189,2.110570
1190,2.110660
1191,2.110550
1192,2.110700
1193,2.110610
1194,2.110610
1195,2.110590
1196,2.110550
1197,2.110640
1198,2.110550
1199,2.110590
1200,2.110620
1201,2.110590
1202,2.110680
1203,2.110610
1204,2.110510
1205,2.110550
1206,2.110510
1207,2.110610
1208,2.110470
1209,2.110430
1210,2.110590
1211,2.110510
1212,2.110610
1213,2.110430
1214,2.110470
1215,2.110490
1216,2.110550
1217,2.110590
1218,2.110470
1219,2.110640
1220,2.110570
1221,2.110640
1222,2.110510
1223,2.110550
1224,2.110530
1225,2.110590
1226,2.110490
1227,2.110570
1228,2.110490
1229,2.110620
1230,2.110530
1231,2.110590
1232,2.110550
1233,2.110510
1234,2.110610
1235,2.110570
1236,2.110550
1237,2.110510
1238,2.110510
1239,2.110510
1240,2.110590
1241,2.110640
1242,2.110530
1243,2.110570
1244,2.110640
1245,2.110530
1246,2.110490
1247,2.110490
1248,2.110610
1249,2.110620
1250,2.110430
1251,2.110640
1252,2.110510
1253,2.110360
1254,2.110570
1255,2.110530
1256,2.110530
1257,2.110470
1258,2.110430
1259,2.110510
1260,2.110530
1261,2.110470
1262,2.110530
1263,2.110340
1264,2.110590
1265,2.110510
1266,2.110590
1267,2.110240
1268,2.110380
1269,2.110490
1270,2.110430
1271,2.110380
1272,2.110430
1273,2.110410
1274,2.110360
1275,2.110380
1276,2.110400
1277,2.110360
1278,2.110360
1279,2.110280
1280,2.110340
1281,2.110380
1282,2.110380
1283,2.110200
1284,2.110280
1285,2.110340
1286,2.110300
1287,2.110340
1288,2.110380
1289,2.110320
1290,2.110320
1291,2.110360
1292,2.110300
1293,2.110200
