        1st,        1st,        1st
      V [V],    Q [mAh],Q/M [mAh/g]
   2.007728,   0.001616,   2.342616
   2.007572,    0.00162,    2.34726
   2.007417,   0.001623,   2.351903
   2.007106,   0.001626,   2.356547
   2.006951,   0.001629,    2.36119
    2.00664,   0.001632,   2.365834
   2.006484,   0.001636,   2.370477
   2.006173,   0.001639,   2.375121
   2.005863,   0.001642,   2.379763
   2.005707,   0.001645,   2.384406
   2.005396,   0.001648,    2.38905
   2.005241,   0.001652,   2.393694
    2.00493,   0.001655,   2.398337
   2.004619,   0.001658,    2.40298
   2.004464,   0.001661,   2.407624
   2.004308,   0.001664,   2.412267
   2.003998,   0.001668,    2.41691
   2.003842,   0.001671,   2.421554
   2.003531,   0.001674,   2.426198
   2.003221,   0.001677,   2.430842
    2.00291,    0.00168,   2.435486
    2.00291,   0.001684,    2.44013
   2.002599,   0.001687,   2.444773
   2.002288,    0.00169,   2.449417
   2.002133,   0.001693,   2.454061
   2.001822,   0.001697,   2.458705
   2.001667,     0.0017,   2.463349
   2.001356,   0.001703,   2.467992
   2.001045,   0.001706,   2.472635
    2.00089,   0.001709,   2.477279
   2.000579,   0.001713,   2.481923
   2.000423,   0.001716,   2.486566
   2.000268,   0.001719,    2.49121
   1.999957,   0.001722,   2.495854
   1.999802,   0.001725,   2.500497
   1.999491,   0.001729,    2.50514
   1.999335,   0.001732,   2.509784
    1.99918,   0.001735,   2.514427
   1.998869,   0.001738,    2.51907
   1.998714,   0.001741,   2.523714
   1.998403,   0.001745,   2.528358
   1.998248,   0.001748,   2.533002
   1.998092,   0.001751,   2.537646
   1.997781,   0.001754,    2.54229
   1.997626,   0.001757,   2.546933
   1.997315,   0.001761,   2.551577
   1.997004,   0.001764,   2.556221
   1.996849,   0.001767,   2.560865
   1.996538,    0.00177,   2.565509
   1.996383,   0.001773,   2.570152
   1.996227,   0.001777,   2.574796
   1.995916,    0.00178,    2.57944
   1.995761,   0.001783,   2.584084
   1.995606,   0.001786,   2.588728
   1.995295,   0.001789,   2.593371
   1.994984,   0.001793,   2.598015
   1.994829,   0.001796,   2.602659
   1.994673,   0.001799,   2.607303
   1.994362,   0.001802,   2.611946
   1.994207,   0.001805,   2.616589
   1.994051,   0.001809,   2.621232
   1.993896,   0.001812,   2.625875
   1.993585,   0.001815,   2.630518
   1.993274,   0.001818,   2.635162
   1.993119,   0.001821,   2.639806
   1.992808,   0.001825,    2.64445
   1.992653,   0.001828,   2.649093
   1.992497,   0.001831,   2.653736
   1.992187,   0.001834,   2.658379
   1.992031,   0.001837,   2.663022
   1.991876,   0.001841,   2.667666
    1.99172,   0.001844,    2.67231
    1.99141,   0.001847,   2.676953
   1.991099,    0.00185,   2.681596
   1.990943,   0.001854,    2.68624
   1.990788,   0.001857,   2.690884
   1.990477,    0.00186,   2.695528
   1.990322,   0.001863,   2.700171
   1.990011,   0.001866,   2.704815
   1.989855,    0.00187,   2.709458
     1.9897,   0.001873,   2.714101
   1.989389,   0.001876,   2.718744
   1.989389,   0.001879,   2.723388
   1.989078,   0.001882,   2.728031
   1.988923,   0.001886,   2.732674
   1.988768,   0.001889,   2.737318
   1.988457,   0.001892,    2.74196
   1.988301,   0.001895,   2.746603
    1.98799,   0.001898,   2.751246
   1.987835,   0.001902,    2.75589
    1.98768,   0.001905,   2.760533
   1.987369,   0.001908,   2.765176
   1.987213,   0.001911,   2.769819
   1.986903,   0.001914,   2.774462
   1.986747,   0.001918,   2.779106
   1.986592,   0.001921,    2.78375
   1.986281,   0.001924,   2.788394
   1.986126,   0.001927,   2.793038
    1.98597,    0.00193,   2.797681
   1.985659,   0.001934,   2.802325
   1.985504,   0.001937,   2.806969
   1.985349,    0.00194,   2.811613
   1.985193,   0.001943,   2.816256
   1.984882,   0.001946,   2.820899
   1.984727,    0.00195,   2.825542
   1.984571,   0.001953,   2.830185
   1.984261,   0.001956,   2.834827
   1.984105,   0.001959,    2.83947
   1.983794,   0.001962,   2.844113
   1.983639,   0.001966,   2.848757
   1.983484,   0.001969,   2.853401
   1.983328,   0.001972,   2.858045
   1.983173,   0.001975,   2.862688
   1.982862,   0.001978,   2.867332
   1.982551,   0.001982,   2.871974
   1.982396,   0.001985,   2.876617
    1.98224,   0.001988,    2.88126
   1.982085,   0.001991,   2.885904
   1.981774,   0.001994,   2.890547
   1.981619,   0.001998,    2.89519
   1.981463,   0.002001,   2.899834
   1.981308,   0.002004,   2.904478
   1.981152,   0.002007,   2.909121
   1.980842,    0.00201,   2.913763
   1.980531,   0.002014,   2.918407
   1.980531,   0.002017,    2.92305
    1.98022,    0.00202,   2.927693
   1.980065,   0.002023,   2.932337
   1.979754,   0.002027,   2.936981
   1.979598,    0.00203,   2.941624
   1.979598,   0.002033,   2.946267
   1.979288,   0.002036,   2.950911
   1.979132,   0.002039,   2.955555
   1.978977,   0.002043,   2.960198
   1.978666,   0.002046,   2.964841
    1.97851,   0.002049,   2.969484
   1.978355,   0.002052,   2.974127
     1.9782,   0.002055,   2.978771
   1.977889,   0.002059,   2.983415
   1.977733,   0.002062,   2.988059
   1.977578,   0.002065,   2.992703
   1.977423,   0.002068,   2.997346
   1.977267,   0.002071,    3.00199
   1.976956,   0.002075,   3.006634
   1.976801,   0.002078,   3.011278
   1.976646,   0.002081,   3.015922
   1.976335,   0.002084,   3.020565
   1.976179,   0.002087,   3.025209
   1.976024,   0.002091,   3.029853
   1.975869,   0.002094,   3.034497
   1.975558,   0.002097,    3.03914
   1.975402,     0.0021,   3.043783
   1.975247,   0.002103,   3.048427
   1.975091,   0.002107,   3.053071
