        1st,        1st,        1st
      V [V],    Q [mAh],Q/M [mAh/g]
   2.519711,   0.001059,   1.680439
   2.519089,   0.001062,   1.685127
   2.518156,   0.001065,   1.689814
   2.517534,   0.001068,   1.694501
   2.516912,    0.00107,   1.699189
   2.515978,   0.001073,   1.703876
     2.5152,   0.001076,   1.708564
   2.514267,   0.001079,   1.713252
   2.513334,   0.001082,   1.717939
   2.512711,   0.001085,   1.722625
   2.511622,   0.001088,   1.727312
   2.511156,   0.001091,   1.731999
   2.510222,   0.001094,   1.736686
   2.509445,   0.001097,   1.741373
   2.508822,     0.0011,   1.746061
   2.507889,   0.001103,   1.750749
   2.506956,   0.001106,   1.755436
   2.506178,   0.001109,   1.760124
   2.505245,   0.001112,   1.764811
   2.504622,   0.001115,   1.769497
   2.503534,   0.001118,   1.774184
   2.502911,   0.001121,   1.778871
   2.501978,   0.001124,   1.783558
   2.501356,   0.001127,   1.788245
   2.500578,    0.00113,   1.792932
   2.499645,   0.001133,    1.79762
   2.498711,   0.001135,   1.802308
   2.498089,   0.001138,   1.806995
   2.497156,   0.001141,   1.811683
   2.496378,   0.001144,   1.816371
   2.495289,   0.001147,   1.821058
   2.494823,    0.00115,   1.825745
   2.493734,   0.001153,   1.830432
   2.493111,   0.001156,    1.83512
   2.492489,   0.001159,   1.839807
     2.4914,   0.001162,   1.844495
   2.490467,   0.001165,   1.849183
   2.489845,   0.001168,    1.85387
   2.488911,   0.001171,   1.858557
   2.488289,   0.001174,   1.863244
     2.4872,   0.001177,   1.867932
   2.486578,    0.00118,    1.87262
   2.485956,   0.001183,   1.877307
   2.484867,   0.001186,   1.881994
   2.484245,   0.001189,   1.886681
   2.483311,   0.001192,   1.891367
   2.482378,   0.001195,   1.896054
   2.481601,   0.001197,   1.900741
   2.480667,     0.0012,   1.905427
   2.480045,   0.001203,   1.910114
   2.479111,   0.001206,   1.914802
   2.478334,   0.001209,   1.919489
   2.477711,   0.001212,   1.924176
   2.476623,   0.001215,   1.928863
      2.476,   0.001218,   1.933551
   2.475067,   0.001221,   1.938239
   2.473978,   0.001224,   1.942926
   2.473356,   0.001227,   1.947612
   2.472423,    0.00123,   1.952299
   2.471645,   0.001233,   1.956987
   2.470867,   0.001236,   1.961674
   2.470245,   0.001239,   1.966361
   2.469623,   0.001242,   1.971048
   2.468534,   0.001245,   1.975734
   2.467911,   0.001248,   1.980421
   2.466823,   0.001251,   1.985108
   2.465889,   0.001254,   1.989796
   2.465267,   0.001257,   1.994484
   2.464178,   0.001259,   1.999171
   2.463712,   0.001262,   2.003859
   2.462623,   0.001265,   2.008547
      2.462,   0.001268,   2.013234
   2.461378,   0.001271,   2.017922
   2.460445,   0.001274,    2.02261
   2.459667,   0.001277,   2.027297
   2.458734,    0.00128,   2.031985
     2.4578,   0.001283,   2.036673
   2.457178,   0.001286,    2.04136
   2.456245,   0.001289,   2.046048
   2.455467,   0.001292,   2.050736
   2.454534,   0.001295,   2.055423
   2.453912,   0.001298,    2.06011
    2.45329,   0.001301,   2.064797
   2.452356,   0.001304,   2.069485
   2.451578,   0.001307,   2.074173
     2.4508,    0.00131,    2.07886
   2.449867,   0.001313,   2.083547
   2.449245,   0.001316,   2.088234
   2.448156,   0.001319,   2.092922
   2.447534,   0.001321,    2.09761
     2.4466,   0.001324,   2.102297
   2.445978,   0.001327,   2.106984
   2.445356,    0.00133,   2.111671
   2.444423,   0.001333,   2.116359
   2.443489,   0.001336,   2.121047
   2.442867,   0.001339,   2.125734
   2.441934,   0.001342,   2.130422
   2.441312,   0.001345,   2.135109
   2.440378,   0.001348,   2.139796
