cycle number,Ewe/V
1403,1.981240
1404,1.981360
1405,1.981220
1406,1.981220
1407,1.981130
1408,1.981050
1409,1.981050
1410,1.980940
1411,1.980990
1412,1.980880
1413,1.980840
1414,1.980840
1415,1.980860
1416,1.980800
1417,1.980730
1418,1.980570
1419,1.980650
1420,1.980670
1421,1.980570
1422,1.980500
1423,1.980570
1424,1.980330
1425,1.980400
1426,1.980230
1427,1.980360
1428,1.980230
1429,1.980230
1430,1.980080
1431,1.980060
1432,1.979940
1433,1.980040
1434,1.979850
1435,1.979830
1436,1.979940
1437,1.979790
1438,1.979810
1439,1.979660
1440,1.979640
1441,1.979560
1442,1.979430
1443,1.979410
1444,1.979390
1445,1.979470
1446,1.979470
1447,1.979390
1448,1.979370
1449,1.979260
1450,1.979180
1451,1.979080
1452,1.979180
1453,1.979120
1454,1.979010
1455,1.979100
1456,1.978950
1457,1.978840
1458,1.978890
1459,1.978760
1460,1.978780
1461,1.978780
1462,1.978660
1463,1.978610
1464,1.978550
1465,1.978570
1466,1.978490
1467,1.978380
1468,1.978340
1469,1.978340
1470,1.978280
1471,1.978320
1472,1.978240
1473,1.978090
1474,1.978210
1475,1.978000
1476,1.977980
1477,1.977980
1478,1.977860
1479,1.977710
1480,1.977790
1481,1.977750
1482,1.977650
1483,1.977590
1484,1.977460
1485,1.977480
1486,1.977440
1487,1.977560
1488,1.977270
1489,1.977160
1490,1.977370
1491,1.977190
1492,1.977140
1493,1.977060
1494,1.977080
1495,1.977040
1496,1.977040
1497,1.976870
1498,1.976830
1499,1.976870
1500,1.976930
1501,1.976770
1502,1.976470
1503,1.976740
1504,1.976740
1505,1.976580
1506,1.976530
1507,1.976600
1508,1.976490
1509,1.976410
1510,1.976390
1511,1.976300
1512,1.976330
1513,1.976280
1514,1.976200
1515,1.976260
1516,1.976070
1517,1.976120
1518,1.976140
1519,1.976010
1520,1.975930
1521,1.976030
1522,1.975900
1523,1.975930
1524,1.975700
1525,1.975780
1526,1.975860
1527,1.975670
1528,1.975690
1529,1.975610
1530,1.975400
1531,1.975510
1532,1.975480
1533,1.975400
1534,1.975400
1535,1.975360
1536,1.975250
1537,1.975300
1538,1.975270
1539,1.975150
1540,1.975040
1541,1.975210
1542,1.975150
1543,1.974960
1544,1.974900
1545,1.974920
1546,1.974730
1547,1.974790
1548,1.974770
